"filename", "language", "Markdown", "XML", "JavaScript", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "CSS", "comment", "blank", "total"
"d:\Bits\SEM\Project\community-cart\src\components\PendingOrdersDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 0, 29, 167
"d:\Bits\SEM\Project\community-cart\src\components\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 10, 69
"d:\Bits\SEM\Project\community-cart\src\components\ProductDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 1, 28, 134
"d:\Bits\SEM\Project\community-cart\src\components\ShopCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Bits\SEM\Project\community-cart\src\components\StatsTiles.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"d:\Bits\SEM\Project\community-cart\src\components\SuperComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"d:\Bits\SEM\Project\community-cart\src\components\TileContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"d:\Bits\SEM\Project\community-cart\src\components\TopShops.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"d:\Bits\SEM\Project\community-cart\src\model\Bookmark.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\Bits\SEM\Project\community-cart\src\model\Cart.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\Bits\SEM\Project\community-cart\src\model\Category.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\Bits\SEM\Project\community-cart\src\model\Order.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"d:\Bits\SEM\Project\community-cart\src\model\Product.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"d:\Bits\SEM\Project\community-cart\src\model\Seller.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"d:\Bits\SEM\Project\community-cart\src\model\User.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"d:\Bits\SEM\Project\community-cart\src\utils\Firebase.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\Bits\SEM\Project\community-cart\src\utils\fetcher.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\Bits\SEM\Project\community-cart\src\utils\maps.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 9, 1, 24
"d:\Bits\SEM\Project\community-cart\src\utils\resolvers\AdminNavSlice.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"d:\Bits\SEM\Project\community-cart\src\utils\resolvers\Bookmark.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"d:\Bits\SEM\Project\community-cart\src\utils\resolvers\CartSlice.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"d:\Bits\SEM\Project\community-cart\src\utils\resolvers\CustomerDataSlice.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 1, 5, 38
"d:\Bits\SEM\Project\community-cart\src\utils\resolvers\OrderSlice.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"d:\Bits\SEM\Project\community-cart\src\utils\resolvers\SellerSlice.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 1, 5, 61
"d:\Bits\SEM\Project\community-cart\src\utils\resolvers\UserDataSlice.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 1, 5, 30
"d:\Bits\SEM\Project\community-cart\src\utils\resolvers\index.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"d:\Bits\SEM\Project\community-cart\tailwind.config.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"d:\Bits\SEM\Project\community-cart\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 26, 0, 0, 4, 1, 31
"Total", "-", 0, 433, 34, 957, 3957, 26, 6027, 33, 94, 978, 12539
